TimePoint,GCaMP,jRGECO
0,109980.107722859,64296.8224281003
1,110675.26485017,64011.7953893913
2,109289.592838698,64135.7898696069
3,109234.248175046,63973.2187820946
4,110274.479214357,64052.3216650543
5,109243.051340806,63912.1410148046
6,109915.996196365,64001.6219888283
7,110320.594012092,64261.7860064374
8,109623.059710687,64359.7268542176
9,110108.25306895,64402.3171202646
10,109529.799532235,63940.431253048
11,110091.863312571,64272.3905960591
12,110386.748279504,64518.3251417562
13,110025.000510565,63849.466365909
14,109448.825005801,63732.1273368165
15,108928.565658192,63799.5929011898
16,110536.318819589,64499.5266200374
17,109079.054913884,63295.3453601286
18,109352.613894982,63963.3849124787
19,109213.711674254,63833.8270913763
20,110472.205271389,64224.6864070288
21,109603.278246767,63970.6482534745
22,109521.421262822,64456.3826425041
23,109256.647201268,63788.4114838204
24,110108.902641314,63986.7569955544
25,109500.513081976,64340.2366319951
26,110316.207326323,64338.1135056652
27,110032.153867952,64285.0005248493
28,109968.682225293,64267.67691293
29,109912.876865526,63592.1533970668
30,109821.489176076,63993.5351980111
31,110033.400896406,64859.468403806
32,109564.350626953,63805.9522479374
33,110211.647704579,64243.7759110884
34,110502.595781045,64513.5521342619
35,109803.532438464,64076.3599577173
36,111296.967331917,64626.6459642762
37,110051.524183456,64798.849898799
38,110790.377720044,64413.7765250403
39,110605.92522171,64075.5196920381
40,109219.84288875,63578.3688098341
41,109578.626311702,63848.0315562381
42,109547.422824607,63839.6177173718
43,110013.781309592,63930.7903017137
44,109165.469932637,63944.4193178006
45,109202.541190317,63918.8246281521
46,110222.103755257,63937.262518483
47,108775.632068168,64151.8158700083
48,109803.157061491,64702.6862603762
49,109714.842407623,64254.7122816162
50,110581.452849911,63875.6869232185
51,109700.687427392,64036.676863875
52,109703.95932935,64029.7885320558
53,110020.114257578,64049.8110119675
54,110227.900889662,64001.5839203048
55,109565.406782187,64010.0744986682
56,110382.850512779,63948.1298645334
57,108634.324849864,64134.4075140771
58,109209.64973099,63546.0710813973
59,109727.263004539,63475.4849564239
60,109740.122574462,64521.8357492372
61,109328.776390707,63777.5890085057
62,108927.475247385,63831.704132799
63,108850.539098705,63747.6505984056
64,109536.47655905,64205.8719099929
65,109018.330097887,63287.5859927028
66,109257.726733195,63551.950815248
67,109626.21970603,63791.2069663811
68,110428.150707833,64111.0488697276
69,109819.690755063,63822.9419418488
70,110122.974096568,63892.3764056271
71,109706.447640255,63798.3692776081
72,109565.011019875,63755.0019052063
73,109716.150176952,63709.3022998785
74,110174.12754019,63362.991473645
75,110081.824432408,63941.5042877725
76,110734.006480087,63502.9290722182
77,109281.519426718,63264.8670361949
78,109043.493805158,63681.5690067336
79,109577.069437125,63674.8671187765
80,110108.669002168,63392.9438209775
81,108973.600510283,63371.9138356899
