Wavelength_nm,GCaMP,jRGECO
450.154,4.11606147681784e-05,2.89023228092847e-05
450.512,4.08765294650218e-05,2.87011150060664e-05
450.87,4.17148130034951e-05,2.92904033921682e-05
451.229,4.10884327270771e-05,2.88509879384138e-05
451.587,4.14593593104329e-05,2.91125847375264e-05
451.945,4.24775685296809e-05,2.98306402685428e-05
452.303,4.30723033449115e-05,3.02507472836851e-05
452.662,4.49490769553182e-05,3.1568888347036e-05
453.02,4.51044617732542e-05,3.16782829142922e-05
453.378,4.84113913164955e-05,3.40017060542701e-05
453.736,4.84894421354124e-05,3.40570466469556e-05
454.094,4.82720100710426e-05,3.39040961047807e-05
454.452,4.89385750299339e-05,3.43747036452383e-05
454.809,4.85940933594951e-05,3.41322438162977e-05
455.167,4.78600377983838e-05,3.36166566645232e-05
455.525,4.92571961547681e-05,3.46006551381698e-05
455.883,4.89973029071856e-05,3.44203825302488e-05
456.241,4.71314913557108e-05,3.31078911646844e-05
456.598,4.71661869859282e-05,3.31302659494325e-05
456.956,4.74730623480973e-05,3.33451163550305e-05
457.313,4.5930188293058e-05,3.22607727354033e-05
457.671,4.55791840880553e-05,3.20130366776549e-05
458.028,4.69105920101475e-05,3.29492256131936e-05
458.386,4.89418757074642e-05,3.43769529087707e-05
458.743,4.90492499123357e-05,3.44529049812136e-05
459.1,4.59721483590864e-05,3.22887566039544e-05
459.458,4.34715839222973e-05,3.05310022168145e-05
459.815,3.91500218188165e-05,2.74936619844077e-05
460.172,3.63203405298534e-05,2.55056247390543e-05
460.529,3.66348662338843e-05,2.57251073845148e-05
460.886,3.72604483772976e-05,2.616486041984e-05
461.243,3.95513394623912e-05,2.77757387776167e-05
461.6,4.12794342221913e-05,2.89902373948232e-05
461.957,4.26569967000471e-05,2.99597770939858e-05
462.314,4.45752531916945e-05,3.13084642479514e-05
462.671,4.53051338125814e-05,3.18207193732567e-05
463.028,4.34626617706782e-05,3.05261253731997e-05
463.385,4.43758180892244e-05,3.11676735642109e-05
463.742,4.57046042802883e-05,3.21036480392107e-05
464.098,4.53395797729944e-05,3.18473671344617e-05
464.455,4.60785723797439e-05,3.23656183661378e-05
464.812,4.61687455508637e-05,3.24287697265482e-05
465.168,4.36369169120379e-05,3.06503044202427e-05
465.525,4.24717184005308e-05,2.98332125896136e-05
465.881,4.03188680377822e-05,2.83234084600655e-05
466.237,4.08365535434038e-05,2.86889826126783e-05
466.594,4.20386302696849e-05,2.95334818754181e-05
466.95,4.28345252143061e-05,3.0092723177656e-05
467.306,4.33714503589752e-05,3.04700724711264e-05
467.663,4.53778369875527e-05,3.18784511655479e-05
468.019,4.71502436937643e-05,3.31229370448323e-05
468.375,4.66747573509247e-05,3.2788488525015e-05
468.731,4.88366385576636e-05,3.430686156566e-05
469.087,7.0639466034614e-05,8.6480998660799e-16
469.443,7.38456993880991e-05,9.86847540662762e-16
469.799,7.30791627442163e-05,1.07499175292781e-15
470.155,7.39497976364666e-05,1.19031125866914e-15
470.511,7.12510287858192e-05,1.23780707668462e-15
470.867,7.13623901310965e-05,1.34659761152752e-15
471.223,7.14951593005533e-05,1.3939774694997e-15
471.578,6.96376179631157e-05,1.35782784697382e-15
471.934,6.63144948934741e-05,1.29296953983141e-15
472.29,6.70097775675581e-05,1.40872467059962e-15
472.645,6.42121408810066e-05,1.49273380973014e-15
473.001,6.38544231044391e-05,1.66064174680273e-15
473.356,6.75355313219008e-05,1.99219287958541e-15
473.712,6.86047315829708e-05,2.33856807460292e-15
474.067,6.74956473269496e-05,2.50602428905752e-15
474.423,6.65832682886979e-05,1.97105224826921e-15
474.778,6.89233582972207e-05,1.69729895210388e-15
475.133,6.93620412300374e-05,1.41146242669909e-15
475.489,7.14292594163008e-05,1.17957041252366e-15
475.844,6.93832022753811e-05,9.64490692105975e-16
476.199,7.06877924983465e-05,8.23163552229402e-16
476.554,7.37756591642487e-05,7.24683227199756e-16
476.909,7.35177804091654e-05,6.24431498567471e-16
477.264,7.38422828988531e-05,5.59515533058719e-16
477.619,7.68985712917193e-05,5.2803531871549e-16
477.974,8.20461583542631e-05,5.15082980320384e-16
478.329,8.61053883266438e-05,4.86036098206056e-16
478.684,9.0001696896646e-05,4.60691190010885e-16
479.039,9.70533008240007e-05,4.5389468200765e-16
479.393,0.000105282719361465,4.49453378857113e-16
479.748,0.000111238231232713,4.36689965879114e-16
480.103,0.000117910696976822,4.24359427013279e-16
480.457,0.000126389978926951,4.11221471896831e-16
480.812,0.000140500059337041,4.17015597060439e-16
481.166,0.000152029660079724,4.12507319051067e-16
481.521,0.000168309980488948,4.179820178507e-16
481.875,0.000182588512242711,4.18107666930849e-16
482.23,0.000194678787023656,4.04606401429776e-16
482.584,0.000210546455855317,3.96451618135217e-16
482.938,0.000223851121434795,3.8528352706211e-16
483.293,0.000242794358834875,3.70407967157281e-16
483.647,0.000262505308010169,3.57198410058698e-16
484.001,0.000280965209975522,3.45009575710106e-16
484.355,0.000304145109885717,3.3518439510602e-16
484.709,0.000331548697430776,3.31406000214241e-16
485.063,0.000360857268440243,3.2964614435266e-16
485.417,0.000391750174220054,3.27956966607948e-16
485.771,0.000427449154098557,3.30240709167466e-16
486.125,0.000460271228909241,3.30136136571829e-16
486.479,0.000498503811493442,3.33665068268836e-16
486.832,0.000540909963880622,3.39433926069673e-16
487.186,0.00058529370900011,3.40833597718977e-16
487.54,0.00062451751134699,3.35319013749491e-16
487.894,0.0006742848381361,3.35853691395908e-16
488.247,0.000721577090838176,3.33269488323769e-16
488.601,0.000777114805173195,3.33739223019291e-16
488.954,0.000831991536937938,3.33943763252093e-16
489.308,0.000886866396209477,3.28687635494298e-16
489.661,0.000943412203531975,3.24096369568002e-16
490.014,0.00100724810587692,3.22316535114447e-16
490.368,0.00107723320048994,3.19215403786071e-16
490.721,0.00114170487166176,3.15081619547264e-16
491.074,0.00121130647435209,3.12039051344384e-16
491.427,0.0012854004134915,3.07802360650184e-16
491.781,0.00136752166398728,3.05862292652365e-16
492.134,0.00145369113423812,3.01050511414002e-16
492.487,0.00153860122808207,2.90834921276147e-16
492.84,0.00163243322485147,2.83810393153596e-16
493.193,0.00172290744615717,2.79851681300069e-16
493.546,0.0018178331156348,2.79066062253037e-16
493.898,0.00191450787871061,2.78656956503917e-16
494.251,0.00201662778866427,2.74964422533692e-16
494.604,0.00212080937997541,2.70477753625574e-16
494.957,0.00222566882126215,2.6661719306475e-16
495.309,0.00233428264949327,2.62900172520556e-16
495.662,0.00245061241841287,2.60282591814922e-16
496.015,0.00256717516128379,2.57773591559989e-16
496.367,0.00268505091271854,2.51598048872231e-16
496.72,0.00280487479437449,2.46323441524967e-16
497.072,0.00292744981506123,2.42208172885454e-16
497.425,0.00305919038402984,2.40202857314087e-16
497.777,0.00319052964079346,2.38395921134728e-16
498.129,0.00332308957283778,2.33960700015078e-16
498.482,0.0034623855375839,2.25917905648781e-16
498.834,0.00360044741885723,2.18940098437401e-16
499.186,0.00374103214217411,2.12576607467265e-16
499.538,0.00388053577913861,2.06598244968603e-16
499.89,0.00402336879052906,2.01495981457964e-16
500.242,0.00416575803549852,1.98810238476854e-16
500.594,0.00431477704543285,1.97480834899017e-16
500.946,0.00445885108525245,1.96038492000233e-16
501.298,0.00460553104062753,1.89532281080348e-16
501.65,0.00475444786565815,1.83050131981478e-16
502.002,0.00490499079679143,1.77426968679991e-16
502.353,0.00505287607564029,1.74891376776122e-16
502.705,0.00520249022347044,1.72602692806778e-16
503.057,0.00534990746632667,1.7014318654757e-16
503.408,0.00549881997702055,1.66571986445617e-16
503.76,0.00564719825770157,1.63288720804317e-16
504.111,0.0057920479629228,1.60487761805452e-16
